region,per capita,formal wage,child mortality,2020,alco (2018),drug (2018),grp,living area,bad conditions,no funds,morbidity (2016),congenital malformation (2016),psychosis (2016),teenage pregnancy (2016),birth rate,population,poverty,the poor: children,aged,the poor: employable,regional production,retail,living wage
Магаданская область,70864.0,102843.0,0.30441400304414,2560.0,127,6.2,2035007.0,13.8,0.2,0.0,67012.9,202.9,444.8,0.0,937.5735824015869,140149.0,8.7,30.7,11.5,57.8,3821294.461894127,245817,22027.0
Москва,77283.0,100070.0,0.3643016741685826,275544.0,23.1,8.7,1567644.8,13.8,0.5,4.096,64633.3,150.2,276.2,0.0,974.3116445322671,12678079.0,6.0,38.4,13.2,48.5,1543010.9280751445,408674,20260.0
Московская область,47046.0,58066.0,0.3109712162008419,144541.0,37.7,11,683845.1,14.8,1.0,0.9569999999999999,70054.0,90.1,423.5,3.8,1028.584178394544,7690863.0,6.8,49.9,5.7,44.4,916250.2792625483,347566,14586.0
Мурманская область,46355.0,69135.0,0.3857429409041815,11520.0,48.3,6.2,1072337.1,17.7,2.4,1.8483,87319.0,72.3,449.0,20.4,874.1522840448662,741404.0,10.1,43.7,0.4,55.8,2722153.0663174195,242844,18438.0
Ненецкий автономный округ,84147.0,92237.0,0.6734006734006733,1169.0,181.8,2.3,5206287.1,20.9,5.9,0.0,138231.7,853.1,903.3,0.0,1346.602888168484,44111.0,9.4,45.6,2.0,52.4,11922452.714742355,226206,22971.0
Нижегородская область,33645.0,37601.0,0.4629629629629629,82687.0,44.4,7,497418.6,17.5,0.5,0.16720000000000002,91127.3,412.4,330.7,4.2,863.205311609999,3202946.0,9.4,31.7,3.8,64.5,937124.1100162163,237008,11228.0
Новгородская область,26268.0,34169.0,0.4093327875562832,18235.0,55.2,9.4,471333.3,17.6,0.4,0.0,88536.3,133.0,408.0,14.0,819.1004982330496,596508.0,13.6,40.1,1.3,58.6,779095.5266316629,204547,12346.0
Новосибирская область,31563.0,41534.0,0.568162134072406,70473.0,33.8,20.6,485981.4,16.3,1.8,1.3679999999999999,77378.7,125.8,339.4,3.1,1031.5670598998631,2798170.0,13.8,34.1,4.4,61.5,506052.5777704714,197028,12598.0
Омская область,27354.0,37828.0,0.5898876404494382,49446.0,29.9,7.7,398641.0,16.9,0.8,0.27180000000000004,85381.7,256.1,394.1,10.5,923.876231726844,1926665.0,13.6,38.8,5.1,56.2,969920.1983842546,185769,10956.0
Оренбургская область,24719.0,35075.0,0.36741214057507987,58886.0,93.6,3.7,538971.9,19.0,1.8,1.2730000000000001,79188.8,322.9,677.8,23.5,959.7130059509361,1956835.0,14.0,42.8,3.3,53.9,900190.4653074992,169416,10438.0
Орловская область,26843.0,31862.0,0.5754141238012206,21479.0,90.3,4.4,390170.2,18.8,1.4,0.0,94883.0,315.4,604.7,11.7,781.8698892157852,733498.0,12.9,41.5,8.0,50.5,408869.29480380315,194977,11132.0
Пензенская область,24118.0,32766.0,0.44499637793645863,32602.0,129.8,6.2,379820.4,16.9,0.2,0.0,73083.1,74.4,843.3,3.5,740.1404604756722,1305563.0,13.0,32.7,12.8,54.5,449360.18146960356,171267,10396.0
Пермский край,30215.0,41958.0,0.4661365505895256,65683.0,95.3,11.7,541930.2,16.0,1.5,2.3102999999999994,94982.5,526.2,661.2,46.4,982.1641544131791,2599260.0,13.3,41.5,3.7,54.8,1153897.710409886,214162,11633.0
Приморский край,37304.0,50105.0,0.5260243632336655,43976.0,64.1,35.5,582950.7,15.7,2.4,1.8796000000000004,72917.4,170.9,661.8,30.6,952.597965681155,1895868.0,13.0,49.6,4.2,46.2,362188.5623788154,230378,14872.0
Псковская область,26436.0,31496.0,0.40040040040040037,18112.0,85.9,4.6,325659.6,15.0,0.1,0.0,70723.5,85.4,406.1,0.0,797.7767662490116,626115.0,16.2,29.6,9.3,61.0,455903.4736430208,200916,12425.0
